Year,m,d,Time,Time zone,Cloud amount (1/8),Pressure (msl) (hPa),Relative humidity (%),Precipitation intensity (mm/h),Snow depth (cm),Air temperature (degC),Dew-point temperature (degC),Horizontal visibility (m),Wind direction (deg),Gust speed (m/s),Wind speed (m/s)
2018,10,1,00:00,UTC,4,1004.7,98,,,8.2,7.9,21470,215,2.3,1.3
2018,10,1,00:10,UTC,6,1004.7,97,,,8.2,7.8,24205,239,3.1,1.5
2018,10,1,00:20,UTC,7,1004.7,97,,,8.4,8,23429,236,3.3,1.7
2018,10,1,00:30,UTC,7,1004.6,97,,,8.5,8,28033,237,2.7,1.6
2018,10,1,00:40,UTC,7,1004.7,96,,,8.5,8,28328,222,3,1.7
2018,10,1,00:50,UTC,7,1004.7,95,,,8.6,7.9,27184,199,3.2,2
2018,10,1,01:00,UTC,7,1004.7,95,,,8.5,7.7,32779,210,3.2,1.9
2018,10,1,01:10,UTC,6,1004.7,95,,,8.4,7.6,27174,209,3.1,2
2018,10,1,01:20,UTC,3,1004.7,96,,,8.3,7.8,28623,205,3.2,2.3
2018,10,1,01:30,UTC,2,1004.7,95,,,8.3,7.6,30423,221,2.9,2
2018,10,1,01:40,UTC,3,1004.8,96,,,8.3,7.7,26687,210,3.3,2.4
2018,10,1,01:50,UTC,6,1004.8,96,,,8.4,7.9,29233,185,3.2,2.2
2018,10,1,02:00,UTC,7,1004.8,96,,,8.4,7.8,26962,177,2.8,1.9
2018,10,1,02:10,UTC,7,1004.9,96,,,8.3,7.8,27751,189,2.8,2.2
2018,10,1,02:20,UTC,8,1004.9,96,,,8.6,7.9,30158,192,2.9,2.1
2018,10,1,02:30,UTC,8,1004.9,95,,,8.6,7.8,29113,186,3.2,2.1
2018,10,1,02:40,UTC,5,1004.9,95,,,8.3,7.6,27863,185,2.6,1.8
2018,10,1,02:50,UTC,3,1005,98,,,8,7.7,26808,191,3.4,2.5
2018,10,1,03:00,UTC,1,1005,97,,,8,7.6,24597,183,3.1,2.4
2018,10,1,03:10,UTC,0,1005,98,,,7.7,7.4,25110,195,2.6,1.6
2018,10,1,03:20,UTC,0,1005,99,,,7.6,7.4,21863,197,1.7,1.3
2018,10,1,03:30,UTC,0,1005.1,99,,,6.9,6.8,13866,181,2,1.4
2018,10,1,03:40,UTC,0,1005.1,100,,,6.8,6.8,14497,175,2.2,1.7
2018,10,1,03:50,UTC,0,1005.1,100,,,7.2,7.2,15676,174,2.8,1.8
2018,10,1,04:00,UTC,3,1005,100,,,6.8,6.8,11452,178,2.2,1.7
2018,10,1,04:10,UTC,5,1005.1,100,,,6.4,6.4,8640,183,2.1,1.3
2018,10,1,04:20,UTC,7,1005.2,100,,,6.3,6.3,3550,184,2.5,1.9
2018,10,1,04:30,UTC,4,1005.3,100,,,7.4,7.4,14008,174,2.5,2
2018,10,1,04:40,UTC,2,1005.4,100,,,7.3,7.2,16677,171,2.5,1.9
2018,10,1,04:50,UTC,1,1005.3,100,,,6.8,6.8,13053,181,2.2,1.2
2018,10,1,05:00,UTC,0,1005.3,100,,,6.3,6.3,839,189,1,0.7
2018,10,1,05:10,UTC,0,1005.4,100,,,5.7,5.7,382,162,1.5,0.9
2018,10,1,05:20,UTC,0,1005.4,100,,,5.7,5.7,1525,184,2.2,0.8
2018,10,1,05:30,UTC,1,1005.5,100,,,6.6,6.6,12122,188,2.3,1.2
2018,10,1,05:40,UTC,1,1005.6,100,,,7.5,7.5,23996,202,3.3,1.8
2018,10,1,05:50,UTC,1,1005.6,100,,,8.4,8.4,25236,221,3.2,1.8
